@DATA SEED       4096
@T    2916887 l 0
@T    2917147 c 0
@T    2928229 c 1
@T    2928694 l 1
@T    2928767 l 0
@T    2929027 c 0
@T    2940271 c 1
@T    2940736 l 1
@T    2940809 l 0
@T    2941069 c 0
@T    2952431 c 1
@T    2952896 l 1
@T    2952969 l 0
@T    2953229 c 0
@T    2964520 c 1
@T    2965039 l 1
@T    2965112 l 0
@T    2965372 c 0
@T    2976662 c 1
@T    2977181 l 1
@T    2977254 l 0
@T    2977514 c 0
@T    2988627 c 1
@T    2989092 l 1
@T    2989165 l 0
@T    2989425 c 0
@T    3000714 c 1
@T    3001179 l 1
@T    3001252 l 0
@T    3001512 c 0
@T    3012905 c 1
@T    3013370 l 1
@T    3013443 l 0
@T    3013703 c 0
@T    3024785 c 1
@T    3025250 l 1
@T    3025323 l 0
@T    3025583 c 0
@T    3036827 c 1
@T    3037292 l 1
@T    3037365 l 0
@T    3037625 c 0
@T    3048987 c 1
@T    3049452 l 1
@T    3049525 l 0
@T    3049785 c 0
@T    3061076 c 1
@T    3061595 l 1
@T    3061668 l 0
@T    3061928 c 0
@T    3073218 c 1
@T    3073737 l 1
@T    3073810 l 0
@T    3074070 c 0
@T    3085183 c 1
@T    3085648 l 1
@T    3085721 l 0
@T    3085981 c 0
@T    3097270 c 1
@T    3097735 l 1
@T    3097808 l 0
@T    3098068 c 0
@T    3109461 c 1
@T    3109926 l 1
@T    3109999 l 0
@T    3110259 c 0
@T    3121341 c 1
@T    3121806 l 1
@T    3121879 l 0
@T    3122139 c 0
@T    3133383 c 1
@T    3133848 l 1
@T    3133921 l 0
@T    3134181 c 0
@T    3145439 c 1
@T    3145904 l 1
@T    3145977 l 0
@T    3146237 c 0
@T    3157599 c 1
@T    3158064 l 1
@T    3158137 l 0
@T    3158397 c 0
@T    3169702 c 1
@T    3170221 l 1
@T    3170294 l 0
@T    3170554 c 0
@T    3177199 c 1
@T    3177704 l 1
@T    3177777 l 0
@T    3178037 c 0
@T    3189327 c 1
@T    3189846 l 1
@T    3189919 l 0
@T    3190179 c 0
@T    3201468 c 1
@T    3201933 l 1
@T    3202006 l 0
@T    3202266 c 0
@T    3213659 c 1
@T    3214124 l 1
@T    3214197 l 0
@T    3214457 c 0
@T    3225539 c 1
@T    3226004 l 1
@T    3226077 l 0
@T    3226337 c 0
@T    3237581 c 1
@T    3238046 l 1
@T    3238119 l 0
@T    3238379 c 0
@T    3249637 c 1
@T    3250102 l 1
@T    3250175 l 0
@T    3250435 c 0
@T    3261797 c 1
@T    3262262 l 1
@T    3262335 l 0
@T    3262595 c 0
@T    3273957 c 1
@T    3274422 l 1
@T    3274495 l 0
@T    3274755 c 0
@T    3286059 c 1
@T    3286578 l 1
@T    3286651 l 0
@T    3286911 c 0
@T    3293556 c 1
@T    3294061 l 1
@T    3294134 l 0
@T    3294394 c 0
@T    3305684 c 1
@T    3306203 l 1
@T    3306276 l 0
@T    3306536 c 0
@T    3317618 c 1
@T    3318083 l 1
@T    3318156 l 0
@T    3318416 c 0
@T    3329660 c 1
@T    3330125 l 1
@T    3330198 l 0
@T    3330458 c 0
@T    3341716 c 1
@T    3342181 l 1
@T    3342254 l 0
@T    3342514 c 0
@T    3353876 c 1
@T    3354341 l 1
@T    3354414 l 0
@T    3354674 c 0
@T    3366036 c 1
@T    3366501 l 1
@T    3366574 l 0
@T    3366834 c 0
@T    3378315 c 1
@T    3378780 l 1
@T    3378853 l 0
@T    3379113 c 0
@T    3390240 c 1
@T    3390705 l 1
@T    3390778 l 0
@T    3391038 c 0
@T    3402342 c 1
@T    3402861 l 1
@T    3402934 l 0
@T    3403194 c 0
@T    3414499 c 1
@T    3415018 l 1
@T    3415091 l 0
@T    3415351 c 0
@T    3421996 c 1
@T    3422501 l 1
@T    3422574 l 0
@T    3422834 c 0
@T    3434125 c 1
@T    3434644 l 1
@T    3434717 l 0
@T    3434977 c 0
@T    3446267 c 1
@T    3446786 l 1
@T    3446859 l 0
@T    3447119 c 0
@T    3458363 c 1
@T    3458828 l 1
@T    3458901 l 0
@T    3459161 c 0
@T    3470419 c 1
@T    3470884 l 1
@T    3470957 l 0
@T    3471217 c 0
@T    3482579 c 1
@T    3483044 l 1
@T    3483117 l 0
@T    3483377 c 0
@T    3494739 c 1
@T    3495204 l 1
@T    3495277 l 0
@T    3495537 c 0
@T    3507018 c 1
@T    3507483 l 1
@T    3507556 l 0
@T    3507816 c 0
@T    3518897 c 1
@T    3519362 l 1
@T    3519435 l 0
@T    3519695 c 0
@T    3531197 c 1
@T    3531662 l 1
@T    3531735 l 0
@T    3531995 c 0
@T    3543393 c 1
@T    3543858 l 1
@T    3543931 l 0
@T    3544191 c 0
@T    3555318 c 1
@T    3555783 l 1
@T    3555856 l 0
@T    3556116 c 0
@T    3562761 c 1
@T    3563266 l 1
@T    3563339 l 0
@T    3563599 c 0
@T    3574890 c 1
@T    3575409 l 1
@T    3575482 l 0
@T    3575742 c 0
@T    3587104 c 1
@T    3587569 l 1
@T    3587642 l 0
@T    3587902 c 0
@T    3599264 c 1
@T    3599729 l 1
@T    3599802 l 0
@T    3600062 c 0
@T    3611543 c 1
@T    3612008 l 1
@T    3612081 l 0
@T    3612341 c 0
@T    3623422 c 1
@T    3623887 l 1
@T    3623960 l 0
@T    3624220 c 0
@T    3635389 c 1
@T    3635854 l 1
@T    3635927 l 0
@T    3636187 c 0
@T    3647409 c 1
@T    3647874 l 1
@T    3647947 l 0
@T    3648207 c 0
@T    3659709 c 1
@T    3660174 l 1
@T    3660247 l 0
@T    3660507 c 0
@T    3671905 c 1
@T    3672370 l 1
@T    3672443 l 0
@T    3672703 c 0
@T    3683830 c 1
@T    3684295 l 1
@T    3684368 l 0
@T    3684628 c 0
@T    3695932 c 1
@T    3696451 l 1
@T    3696524 l 0
@T    3696784 c 0
@T    3708146 c 1
@T    3708611 l 1
@T    3708684 l 0
@T    3708944 c 0
@T    3720425 c 1
@T    3720890 l 1
@T    3720963 l 0
@T    3721223 c 0
@T    3732304 c 1
@T    3732769 l 1
@T    3732842 l 0
@T    3733102 c 0
@T    3744271 c 1
@T    3744736 l 1
@T    3744809 l 0
@T    3745069 c 0
@T    3756312 c 1
@T    3756777 l 1
@T    3756850 l 0
@T    3757110 c 0
@T    3768494 c 1
@T    3768959 l 1
@T    3769032 l 0
@T    3769292 c 0
@T    3780794 c 1
@T    3781259 l 1
@T    3781332 l 0
@T    3781592 c 0
@T    3792719 c 1
@T    3793184 l 1
@T    3793257 l 0
@T    3793517 c 0
@T    3804821 c 1
@T    3805340 l 1
@T    3805413 l 0
@T    3805673 c 0
@T    3817154 c 1
@T    3817619 l 1
@T    3817692 l 0
@T    3817952 c 0
@T    3829033 c 1
@T    3829498 l 1
@T    3829571 l 0
@T    3829831 c 0
@T    3841000 c 1
@T    3841465 l 1
@T    3841538 l 0
@T    3841798 c 0
@T    3853041 c 1
@T    3853506 l 1
@T    3853579 l 0
@T    3853839 c 0
@T    3865237 c 1
@T    3865702 l 1
@T    3865775 l 0
@T    3866035 c 0
@T    3877419 c 1
@T    3877884 l 1
@T    3877957 l 0
@T    3878217 c 0
@T    3889439 c 1
@T    3889904 l 1
@T    3889977 l 0
