@DATA SEED       4096
@T     212223 l 1
@T     212296 l 0
@T     212478 l 1
@T     212551 l 0
@T     212773 l 1
@T     212846 l 0
@T     213068 l 1
@T     213141 l 0
@T     213363 l 1
@T     213436 l 0
@T     213658 l 1
@T     213731 l 0
@T     213913 l 1
@T     213986 l 0
@T     214168 l 1
@T     214241 l 0
@T     214423 l 1
@T     214496 l 0
@T     214678 l 1
@T     214751 l 0
@T     214933 l 1
@T     215006 l 0
@T     215188 l 1
@T     215261 l 0
@T     215443 l 1
@T     215516 l 0
@T     215698 l 1
@T     215771 l 0
@T     215993 l 1
@T     216066 l 0
@T     216248 l 1
@T     216321 l 0
@T     216503 l 1
@T     216576 l 0
@T     216758 l 1
@T     216831 l 0
@T     217013 l 1
@T     217086 l 0
@T     217268 l 1
@T     217341 l 0
@T     217523 l 1
@T     217596 l 0
@T     217778 l 1
@T     217851 l 0
@T     218033 l 1
@T     218106 l 0
@T     218288 l 1
@T     218361 l 0
@T     218583 l 1
@T     218656 l 0
@T     218878 l 1
@T     218951 l 0
@T     219133 l 1
@T     219206 l 0
@T     219388 l 1
@T     219461 l 0
@T     219643 l 1
@T     219716 l 0
@T     219898 l 1
@T     219971 l 0
@T     220153 l 1
@T     220226 l 0
@T     220408 l 1
@T     220481 l 0
@T     220663 l 1
@T     220736 l 0
@T     220958 l 1
@T     221031 l 0
@T     221213 l 1
@T     221286 l 0
@T     221468 l 1
@T     221541 l 0
@T     221723 l 1
@T     221796 l 0
@T     221978 l 1
@T     222051 l 0
@T     222233 l 1
@T     222306 l 0
@T     222488 l 1
@T     222561 l 0
@T     222743 l 1
@T     222816 l 0
@T     222998 l 1
@T     223071 l 0
@T     223253 l 1
@T     223326 l 0
@T     223508 l 1
@T     223581 l 0
@T     223763 l 1
@T     223836 l 0
@T     224018 l 1
@T     224091 l 0
@T     224273 l 1
@T     224346 l 0
@T     224528 l 1
@T     224601 l 0
@T     224783 l 1
@T     224856 l 0
@T     225038 l 1
@T     225111 l 0
@T     225293 l 1
@T     225366 l 0
@T     225548 l 1
@T     225621 l 0
@T     225803 l 1
@T     225876 l 0
@T     226058 l 1
@T     226131 l 0
@T     226313 l 1
@T     226386 l 0
@T     226568 l 1
@T     226641 l 0
@T     226823 l 1
@T     226896 l 0
@T     227078 l 1
@T     227151 l 0
@T     227333 l 1
@T     227406 l 0
@T     227588 l 1
@T     227661 l 0
@T     227843 l 1
@T     227916 l 0
@T     228098 l 1
@T     228171 l 0
@T     228353 l 1
@T     228426 l 0
@T     228608 l 1
@T     228681 l 0
@T     228863 l 1
@T     228936 l 0
